	SRR10408671	SRR10408672	SRR10408673	SRR10408674	SRR10408675	SRR10408676	SRR10408683	SRR10408684	SRR10408685	SRR10408686	SRR10408687	SRR10408688
gene:FGSG_00749	910.036814107857	844.087345453003	784.086011078453	920.036794558152	857.902900814833	909.78501376327	582.400821222446	496.523135152143	551.582576906246	475.47030140878	560.149414706822	326.687725891347
gene:FGSG_00750	686.190025318931	563.955569241973	595.084562127035	627.757373309908	616.670798011454	601.875654060503	54.0625234890034	77.6613108827711	48.1842251090514	44.5753407570731	49.0641823100866	74.6714802037364
gene:FGSG_00751	1106.92823042482	975.153942559975	1013.58777051946	1146.59930190938	1079.88173719728	1031.20587447625	286.695200320473	303.006426067205	336.021569839437	267.452044542439	286.207730142172	158.67689543294
gene:FGSG_00752	445.935618503593	478.116178178956	446.583423665207	432.904425811078	439.427492430568	505.436118757372	421.851509042981	412.496143049473	399.421866035558	391.272435534308	432.037383119373	541.368231477089
gene:FGSG_00753	510.98010425116	517.34385689055	533.524090182859	663.143403869837	574.200357377056	555.979730633109	425.128025618072	436.68573168509	453.946120764221	386.319619894634	456.569474274417	354.689530967748
gene:FGSG_00756	1188.96632055688	1036.99522429355	1208.52926500935	1329.9632784472	1330.17420066933	1116.60714971456	353.044660966068	356.478148314359	419.709960818316	307.074569659837	363.892685466475	331.35469340408
gene:FGSG_00757	1772.60873321073	1531.26397605963	1486.091392898	2104.77948005811	1821.13249440297	1809.69368957381	238.366580837879	245.715295088112	214.293001142886	212.971072506016	208.522774817868	224.014440611209
gene:FGSG_00758	389.094941769232	371.047690401429	365.582802686028	398.437512928031	429.234586678312	382.272374876265	114.678080128189	150.230076789623	138.212645707542	123.82039099187	114.483092056869	74.6714802037364
gene:FGSG_00759	652.788802908019	834.395801300727	851.586528561102	961.856648856249	960.964503420971	908.623091651184	394.001118154707	397.218508121715	401.957877883402	643.866033157723	546.520475176242	508.699458887955
gene:FGSG_00760	527.973708635659	493.807249663594	404.463100756034	653.492668262583	541.356549953122	466.511728002494	81.0937852335051	59.8374034670532	62.1322902721978	59.4337876760975	87.2252129957095	79.33844771647
gene:FGSG_00761	325.808415095923	292.130830875752	291.062231385183	179.227946991848	241.798375345171	250.394215154514	425.947154761845	373.028919486097	404.493889731247	252.593597623414	429.311595213258	401.359206095083
gene:FGSG_00762	3307.30700503847	3228.20720691293	3054.26341505491	4191.63616541703	3969.5705179617	3269.64882340976	1340.91440835604	1273.13624397985	1273.07794761809	1149.05322840455	1127.11329917893	998.731047724975
gene:FGSG_00763	25.7833997557925	22.6136030219777	34.5602649511164	36.7647070752508	26.0485369224306	16.8478706252457	26.2121326007289	33.1015423434762	27.8961303262929	19.8112625586992	24.5320911550433	28.0018050764012
gene:FGSG_00764	8.78979537129289	2.76901261493604	3.78002897902835	5.51470606128762	6.79527050150362	5.80961056042956	4.91477486263668	8.91195370785898	1.2680059239224	0	0	0
gene:FGSG_00765	9695.73028089414	10568.8596491084	11166.2056040498	3847.88615426344	8165.0837800984	10377.7073440953	9318.41313955914	9501.41578882166	9302.09145789476	8533.70134715966	8944.67301391939	9109.92058485584
gene:FGSG_00766	10947.9831281243	10428.5630099516	9599.65359431243	10480.2393106387	9867.86531326685	9438.29331647387	3568.945679418	3814.31618696365	3375.43176948144	3348.10337242016	3255.95365385547	3822.24639292876
gene:FGSG_00767	499.260377089436	492.422743356126	475.20364307785	507.352957638461	455.849396142535	451.98770160142	1021.45404228466	947.213365521012	1016.94075098577	881.601183862113	1094.40384430554	1110.73826803058
gene:FGSG_00768	366.827460161957	365.971167274047	426.063266350482	405.790454343081	430.367131761896	388.662946492738	319.460366071384	314.464652263024	314.465469132756	302.121754020162	370.707155231765	331.35469340408
gene:FGSG_00769	3890.94941769232	3836.92848009637	4376.19354943511	3752.29791586779	4386.91338126238	4387.41789523641	3281.43134995375	3307.60796185966	3319.63950882886	3570.98007620552	3051.51956089677	2702.17418987271
gene:FGSG_00770	8.2038090132067	5.53802522987208	7.02005381819551	4.59558838440635	6.79527050150362	7.55249372855843	9.82954972527335	10.1850899518388	16.4840770109913	19.8112625586992	9.54025767140572	14.0009025382006
gene:FGSG_00771	2048.02232151124	2167.67537539243	2455.39882394885	1711.39711435293	1954.77281426588	2000.2489159559	637.282473855222	737.145885264336	627.66293234159	406.130882453333	502.907868678387	438.694946196952
gene:FGSG_00772	4.68789086468954	4.6150210248934	7.02005381819551	8.27205909193143	5.09645287612772	4.64768844834365	3.27651657509112	5.09254497591942	0	0	2.72578790611592	18.6678700509341
gene:FGSG_00773	428.356027761007	514.574844275614	621.544764980233	528.03310536829	552.682000788962	407.253700286112	18650.7514745624	17676.2236114163	18449.486193071	18751.3600118088	17952.0391496795	18812.5460438289
gene:FGSG_00774	134.776862359824	135.681618131866	140.40107636391	112.132356579515	114.387053441978	134.202003945923	453.79754565012	477.426091492446	399.421866035558	455.659038850081	399.327928245982	368.690433505949
gene:FGSG_00775	126.573053346618	147.219170694099	200.881540028364	95.1286795572115	123.447414110649	138.849692394267	190.037961355285	227.891387672394	171.180799729525	292.216122740813	293.022199907461	224.014440611209
gene:FGSG_00776	2067.94585768617	2074.91345279207	1881.91442741626	2208.63977754569	2201.66764248717	2128.64130934139	798.65091517846	781.705653803631	806.451767614649	718.158267752845	620.116748641372	681.377256859095
gene:FGSG_00777	86007.5617217428	76277.0674994381	74048.0676784661	94006.4368737395	86756.9173103222	84454.8896780206	20692.0213008442	21361.953037738	20544.2319793908	18335.3234980761	18614.4056108656	18406.519870221
gene:FGSG_00778	607.667853335382	418.120904855342	345.602649511164	529.411781883612	444.523945306695	460.702117442064	92.5615932463241	120.947943178086	109.048509457327	123.82039099187	77.6849553243037	112.007220305605
gene:FGSG_00780	888.941305216754	909.159141904	787.32603591762	767.00370135742	805.23955442818	905.718286370969	755.237070558502	739.692157752296	825.471856473486	723.111083392519	810.921902069486	854.055054830236
gene:FGSG_00781	4665.03739672418	4322.89019401765	4408.05379368692	4536.30529424751	4555.66259871639	4577.39216056245	1367.94567010054	1391.53791466998	1350.42630897736	1134.19478148553	1124.38751127282	1493.42960407473
gene:FGSG_00782	89.6559127871875	94.1464289078253	84.2406458183462	98.8051502647366	94.0012419374668	101.668184807517	54.8816526327762	36.9209510754158	45.6482132612066	49.5281563967479	65.4189097467821	37.3357401018682
gene:FGSG_00783	24.6114270396201	23.5366072269563	17.2801324755582	24.8161772757943	14.7230860865912	23.8194032977612	6.55303315018223	7.63881746387913	10.1440473913792	0	2.72578790611592	0
gene:FGSG_00785	25.7833997557925	29.5361345593178	29.7002276923656	26.6544126295568	28.3136270895984	28.4670917461049	13.9251954441372	15.2776349277583	16.4840770109913	9.90563127934958	12.2660455775216	9.33393502546705
gene:FGSG_00786	1350.69855538867	1846.00840995736	2632.52018182332	1289.52210066442	1521.57431979502	1634.24345064884	2412.33532841083	2420.2319998057	2293.82271637563	2090.08819994276	2379.6128420392	2426.82310662143
gene:FGSG_00787	502.190308879867	533.957932580166	461.70353958132	472.426485916973	476.235207647046	504.274196645286	833.054339216916	874.64459961416	762.071560277365	955.893418457235	755.04324999411	970.729242648574
gene:FGSG_00788	465.859154678523	526.112396837848	638.284893315931	351.102952568645	463.777211727622	496.721702916728	91.7424641025513	127.313624397985	96.3684502181028	84.1978658744714	94.0396827609993	102.673285280138
gene:FGSG_00789	479.336840914506	450.887554132085	487.623738294658	514.705899053511	464.343484269414	536.808015783692	161.368441323238	182.058482889119	194.004906360128	123.82039099187	141.740971118028	186.678700509341
gene:FGSG_00790	43.9489768564644	49.8422270688487	44.820343608479	65.7169138970108	52.6633463866531	45.3149623713506	344.85336952834	325.922878458843	315.733475056679	212.971072506016	291.659305954404	242.682310662143
gene:FGSG_00792	360.381610223008	381.662238758684	346.142653651025	271.139714679975	321.642803737838	372.396036923535	1173.81206302639	1256.58547280812	1170.36946778038	1337.26022271219	1169.36301172373	1297.41696853992
gene:FGSG_00793	1181.34849790176	1173.59984663039	1175.58901247782	1505.97431356996	1299.59548341257	1163.084034198	3518.97880164786	3619.52634163473	3610.01286540709	3130.17948427447	3309.10651802473	3117.534298506
gene:FGSG_00794	232.636584160218	208.598950325182	170.101304056276	205.882359621405	173.845670330134	214.374629679851	132.69892129119	90.3926733225697	125.532586468318	108.961944072845	106.305728338521	121.341155331072
gene:FGSG_00796	166.420125696479	190.600368328097	212.76163110531	152.573534362291	198.761662168981	172.545433644758	263.759584294835	246.988431332092	235.849101849567	188.206994307642	291.659305954404	266.017148225811
gene:FGSG_00797	112.509380752549	236.750578577031	372.062852364362	59.7426489972826	125.712504277817	178.355044205188	69.6259772206862	80.2075833707309	84.9563969028011	39.6225251173983	54.5157581223184	42.0027076146017
gene:FGSG_00798	45029.5357007754	38295.9059666679	36334.1785505604	53211.3987853643	46779.7746774345	44577.141830176	2338.61370547128	2555.18444166757	2231.69042610343	2035.60722790634	2160.18691559687	1974.12725788628
gene:FGSG_00799	242.598352247684	239.058089089478	254.881954014483	297.334568471091	286.533906146736	261.43247521933	544.720880608898	616.19794208625	570.602665765082	698.347005194145	671.906718857574	751.381769550098
