Geneid	gene_id	gene_name	gene_biotype
gene:FGSG_00197	gene:FGSG_00197	gene:FGSG_00197	NA
gene:FGSG_00198	gene:FGSG_00198	gene:FGSG_00198	NA
gene:FGSG_00199	gene:FGSG_00199	gene:FGSG_00199	NA
gene:FGSG_00200	gene:FGSG_00200	gene:FGSG_00200	NA
gene:FGSG_00201	gene:FGSG_00201	gene:FGSG_00201	NA
gene:FGSG_11705	gene:FGSG_11705	gene:FGSG_11705	NA
gene:FGSG_11706	gene:FGSG_11706	gene:FGSG_11706	NA
gene:FGSG_11707	gene:FGSG_11707	gene:FGSG_11707	NA
gene:FGSG_00203	gene:FGSG_00203	gene:FGSG_00203	NA
gene:FGSG_11708	gene:FGSG_11708	gene:FGSG_11708	NA
gene:FGSG_11709	gene:FGSG_11709	gene:FGSG_11709	NA
gene:FGSG_00205	gene:FGSG_00205	gene:FGSG_00205	NA
gene:FGSG_00206	gene:FGSG_00206	gene:FGSG_00206	NA
gene:FGSG_11710	gene:FGSG_11710	gene:FGSG_11710	NA
gene:FGSG_00207	gene:FGSG_00207	gene:FGSG_00207	NA
gene:FGSG_00208	gene:FGSG_00208	gene:FGSG_00208	NA
gene:FGSG_11711	gene:FGSG_11711	gene:FGSG_11711	NA
gene:FGSG_11712	gene:FGSG_11712	gene:FGSG_11712	NA
gene:FGSG_00209	gene:FGSG_00209	gene:FGSG_00209	NA
gene:FGSG_00210	gene:FGSG_00210	gene:FGSG_00210	NA
gene:FGSG_00211	gene:FGSG_00211	gene:FGSG_00211	NA
gene:FGSG_00212	gene:FGSG_00212	gene:FGSG_00212	NA
gene:FGSG_00213	gene:FGSG_00213	gene:FGSG_00213	NA
gene:FGSG_00214	gene:FGSG_00214	gene:FGSG_00214	NA
gene:FGSG_00215	gene:FGSG_00215	gene:FGSG_00215	NA
gene:FGSG_00216	gene:FGSG_00216	gene:FGSG_00216	NA
gene:FGSG_00217	gene:FGSG_00217	gene:FGSG_00217	NA
gene:FGSG_00218	gene:FGSG_00218	gene:FGSG_00218	NA
gene:FGSG_00219	gene:FGSG_00219	gene:FGSG_00219	NA
gene:FGSG_00220	gene:FGSG_00220	gene:FGSG_00220	NA
gene:FGSG_00221	gene:FGSG_00221	gene:FGSG_00221	NA
gene:FGSG_00222	gene:FGSG_00222	gene:FGSG_00222	NA
gene:FGSG_11713	gene:FGSG_11713	gene:FGSG_11713	NA
gene:FGSG_11714	gene:FGSG_11714	gene:FGSG_11714	NA
gene:FGSG_00224	gene:FGSG_00224	gene:FGSG_00224	NA
gene:FGSG_00225	gene:FGSG_00225	gene:FGSG_00225	NA
gene:FGSG_00226	gene:FGSG_00226	gene:FGSG_00226	NA
gene:FGSG_00227	gene:FGSG_00227	gene:FGSG_00227	NA
gene:FGSG_11715	gene:FGSG_11715	gene:FGSG_11715	NA
gene:FGSG_11716	gene:FGSG_11716	gene:FGSG_11716	NA
gene:FGSG_00229	gene:FGSG_00229	gene:FGSG_00229	NA
