contrast_id	contrast_title	rank_by_padj	Geneid	gene_id	locus_tag	product	padj	log2FoldChange
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	14	gene:FGSG_00671	FGSG_00671	FGSG_00671	40S ribosomal protein S11	0	-4.80939730138674
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	15	gene:FGSG_00773	FGSG_00773	FGSG_00773	uncharacterized protein	0	5.22057703295417
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	16	gene:FGSG_00798	FGSG_00798	FGSG_00798	uncharacterized protein	0	-4.54586942384199
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	17	gene:FGSG_00802	FGSG_00802	FGSG_00802	uncharacterized protein	0	-4.63074960300996
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	18	gene:FGSG_00845	FGSG_00845	FGSG_00845	60S ribosomal protein L15	0	-4.3720380549151
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	19	gene:FGSG_01016	FGSG_01016	FGSG_01016	uncharacterized protein	0	-5.10793369632487
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	20	gene:FGSG_01021	FGSG_01021	FGSG_01021	uncharacterized protein	0	-5.64658514005794
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	21	gene:FGSG_01049	FGSG_01049	FGSG_01049	uncharacterized protein	0	4.29143291255987
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	22	gene:FGSG_01154	FGSG_01154	FGSG_01154	60S ribosomal protein L9-B	0	-4.57507146378848
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	23	gene:FGSG_01230	FGSG_01230	FGSG_01230	phosphate carrier protein 2	0	6.43276635270746
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	24	gene:FGSG_01238	FGSG_01238	FGSG_01238	uncharacterized protein	0	-5.19105320548711
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	25	gene:FGSG_01278	FGSG_01278	FGSG_01278	uncharacterized protein	0	-3.80357670231478
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	26	gene:FGSG_01433	FGSG_01433	FGSG_01433	glutamate synthase precursor	0	4.1974445416206
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	27	gene:FGSG_01496	FGSG_01496	FGSG_01496	uncharacterized protein	0	4.70097254852866
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	28	gene:FGSG_01504	FGSG_01504	FGSG_01504	60S ribosomal protein L31	0	-4.38201851748971
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	29	gene:FGSG_01509	FGSG_01509	FGSG_01509	40S ribosomal protein S2	0	-4.45704141370199
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	30	gene:FGSG_01516	FGSG_01516	FGSG_01516	60S ribosomal protein L20	0	-4.41584481301656
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	31	gene:FGSG_01956	FGSG_01956	FGSG_01956	uncharacterized protein	0	-5.01469903074274
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	32	gene:FGSG_02022	FGSG_02022	FGSG_02022	1,3-beta-glucanosyltransferase gel4 precursor	0	3.51463447433709
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	33	gene:FGSG_02075	FGSG_02075	FGSG_02075	uncharacterized protein	0	-4.84512717919087
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	34	gene:FGSG_02077	FGSG_02077	FGSG_02077	uncharacterized protein	0	-2.84885207154258
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	35	gene:FGSG_02094	FGSG_02094	FGSG_02094	uncharacterized protein	0	6.66328285287351
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	36	gene:FGSG_02099	FGSG_02099	FGSG_02099	60S ribosomal protein L16	0	-3.85266240437983
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	37	gene:FGSG_02271	FGSG_02271	FGSG_02271	uncharacterized protein	0	10.4228242426929
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	38	gene:FGSG_02272	FGSG_02272	FGSG_02272	uncharacterized protein	0	6.67660538603434
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	39	gene:FGSG_02322	FGSG_02322	FGSG_02322	uncharacterized protein	0	4.59840197890014
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	40	gene:FGSG_02323	FGSG_02323	FGSG_02323	uncharacterized protein	0	3.57918131533864
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	41	gene:FGSG_02364	FGSG_02364	FGSG_02364	uncharacterized protein	0	3.92807617223726
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	42	gene:FGSG_02493	FGSG_02493	FGSG_02493	uncharacterized protein	0	-4.91595319748393
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	43	gene:FGSG_02503	FGSG_02503	FGSG_02503	uncharacterized protein	0	-4.46794822577497
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	44	gene:FGSG_02523	FGSG_02523	FGSG_02523	uncharacterized protein	0	-3.96160318874386
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	45	gene:FGSG_02541	FGSG_02541	FGSG_02541	40S ribosomal protein S14	0	-4.33936046866992
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	46	gene:FGSG_02577	FGSG_02577	FGSG_02577	uncharacterized protein	0	4.5467698781163
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	47	gene:FGSG_02588	FGSG_02588	FGSG_02588	40S ribosomal protein S19	0	-4.8792762777896
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	48	gene:FGSG_02672	FGSG_02672	FGSG_02672	uncharacterized protein	0	10.1188149204008
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	49	gene:FGSG_02697	FGSG_02697	FGSG_02697	uncharacterized protein	0	4.33741660539618
C2_DoubleMutant_NPN_vs_DoubleMutant_PN	Эффект среды в DoubleMutant: NPN vs PN	50	gene:FGSG_02753	FGSG_02753	FGSG_02753	uncharacterized protein	0	4.26018810383067
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	1	gene:FGSG_10766	FGSG_10766	FGSG_10766	uncharacterized protein	8.43813655482311e-77	2.74613276614362
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	2	gene:FGSG_06751	FGSG_06751	FGSG_06751	4-aminobutyrate aminotransferase	1.28833559062148e-19	1.09396843255249
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	3	gene:FGSG_11585	FGSG_11585	FGSG_11585	cytochrome P450 55A2	2.1882570563128e-14	1.42211521794121
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	4	gene:FGSG_02087	FGSG_02087	FGSG_02087	uncharacterized protein	3.73915971393378e-14	0.619325718543141
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	5	gene:FGSG_10598	FGSG_10598	FGSG_10598	uncharacterized protein	2.06654455771544e-06	-0.399780699623215
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	6	gene:FGSG_04709	FGSG_04709	FGSG_04709	uncharacterized protein	4.36299909364412e-06	-1.46834749169192
C3_DoubleMutant_PN_vs_WT_PN	Эффект генотипа в PN: DoubleMutant vs WT	7	gene:FGSG_01015	FGSG_01015	FGSG_01015	heat shock protein 78	5.83224568991786e-06	-0.784736228796946
