contrast_id	contrast_title	Geneid	gene_id	gene_name	gene_biotype	log2FoldChange	lfcSE	pvalue	padj	DEG_status
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_06383	gene:FGSG_06383	gene:FGSG_06383	NA	-1.76682359988295	0.15101980973601	1.28533848096656e-31	4.50673709174661e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_02143	gene:FGSG_02143	gene:FGSG_02143	NA	-2.16052569392629	0.184779923494516	1.39347382190603e-31	4.88423424238832e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04403	gene:FGSG_04403	gene:FGSG_04403	NA	-1.85179462670604	0.158463460069837	1.50404718158109e-31	5.26823562858275e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04904	gene:FGSG_04904	gene:FGSG_04904	NA	5.53235526461887	0.473443929258631	1.51464756018033e-31	5.30357147044545e-31	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_04178	gene:FGSG_04178	gene:FGSG_04178	NA	1.9223684262172	0.164535452286966	1.54583716082353e-31	5.4109526582714e-31	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10339	gene:FGSG_10339	gene:FGSG_10339	NA	-2.67253905788648	0.228799819839945	1.59997324419042e-31	5.59666316565798e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_11081	gene:FGSG_11081	gene:FGSG_11081	NA	-2.20473098802544	0.188771190833519	1.62471041836977e-31	5.68127378311402e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03414	gene:FGSG_03414	gene:FGSG_03414	NA	13.7944481497914	1.18114418559149	1.63423441366533e-31	5.71264791326497e-31	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_03556	gene:FGSG_03556	gene:FGSG_03556	NA	3.45157729026367	0.2956332998141	1.70668027821908e-31	5.96387701676691e-31	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_00258	gene:FGSG_00258	gene:FGSG_00258	NA	-3.46574705059912	0.29700922722055	1.83958208303092e-31	6.42612445603984e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_01176	gene:FGSG_01176	gene:FGSG_01176	NA	1.28697000392901	0.1103116107738	1.88647402599243e-31	6.58770727322954e-31	up
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_09792	gene:FGSG_09792	gene:FGSG_09792	NA	-1.84782147293237	0.158440832215311	1.98060550119747e-31	6.91408946709327e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10323	gene:FGSG_10323	gene:FGSG_10323	NA	-2.09992095676358	0.18010770173522	2.05844404740549e-31	7.18097360742468e-31	down
C1_WT_NPN_vs_WT_PN	Эффект среды в WT: NPN vs PN	gene:FGSG_10488	gene:FGSG_10488	gene:FGSG_10488	NA	1.93036803011282	0.165625361216362	2.16312262438415e-31	7.54360783188732e-31	up
