Strand	Read	Position	nMethylated	nUnmethylated
OT	2	57	115638	10179181
OT	1	58	119991	10206854
OT	2	58	114765	10213567
OT	1	59	119609	10177476
OT	2	59	115860	10140948
OT	1	60	120979	10272406
OT	2	60	114618	10177388
OT	1	61	121252	10169601
OT	2	61	115107	10200894
OT	1	62	119336	10161522
OT	2	62	114419	10143569
OT	1	63	120312	10256687
OT	2	63	114830	10154538
OT	1	64	119611	10176546
OT	2	64	115644	10181813
OT	1	65	119028	10134970
OT	2	65	113935	10129414
OT	1	66	119596	10224077
OT	2	66	114089	10134464
OT	1	67	118620	10148769
OT	2	67	116522	10143954
OT	1	68	118620	10113618
OT	2	68	114544	10099536
OT	1	69	119494	10203017
OT	2	69	117053	10094835
OT	1	70	119590	10108115
OT	2	70	116229	10125024
OT	1	71	118302	10093456
OT	2	71	114061	10073741
OT	1	72	118613	10177340
OT	2	72	115971	10074299
OT	1	73	118249	10096335
OT	2	73	117153	10094421
OT	1	74	117233	10063681
OT	2	74	113976	10040545
OT	1	75	118697	10143947
OT	2	75	113988	10052704
OT	1	76	117702	10059410
OT	2	76	114450	10066469
OT	1	77	116400	10023470
OT	2	77	114355	10000737
OT	1	78	117813	10101585
OT	2	78	114314	10012504
OT	1	79	117337	10022466
OT	2	79	115113	10017778
OT	1	80	116404	9995865
OT	2	80	113903	9968904
OT	1	81	117333	10065756
OT	2	81	115046	9966353
OT	1	82	115883	9986249
OT	2	82	114942	9979315
OT	1	83	115200	9955467
OT	2	83	114693	9914445
OT	1	84	117466	10035710
OT	2	84	114465	9913197
OT	1	85	116242	9948482
OT	2	85	115164	9923687
OT	1	86	115534	9916995
OT	2	86	113568	9858223
OT	1	87	117257	9987692
OT	2	87	114579	9850969
OT	1	88	118035	9891872
OT	2	88	116257	9857322
OT	1	89	115055	9866264
OT	2	89	114739	9795214
OT	1	90	115832	9943152
OT	2	90	115106	9802104
OT	1	91	115502	9863006
OT	2	91	115679	9817698
OT	1	92	114770	9823466
OT	2	92	114776	9749109
OT	1	93	118510	9871994
OT	2	93	115453	9754135
OT	1	94	115370	9820937
OT	2	94	115281	9770224
OT	1	95	114789	9781234
OT	2	95	115675	9689168
OT	1	96	115731	9848419
OT	2	96	115629	9698065
OT	1	97	114703	9765803
OT	2	97	115797	9706900
OT	1	98	114978	9742245
OT	2	98	115416	9646989
OT	1	99	115693	9810087
OT	2	99	116106	9653176
OT	1	100	114649	9726094
OT	2	100	116917	9671060
OT	1	101	113856	9692234
OT	2	101	115162	9603985
OT	1	102	114976	9753593
OT	2	102	117290	9604738
OT	1	103	113659	9678553
OT	2	103	116795	9623060
OT	1	104	113467	9647019
OT	2	104	116183	9547805
OT	1	105	116969	9683766
OT	2	105	116476	9558840
OT	1	106	115742	9611972
OT	2	106	117376	9559406
OT	1	107	112854	9588149
OT	2	107	116568	9494266
OT	1	108	116766	9632759
OT	2	108	116637	9493266
OT	1	109	112896	9571501
OT	2	109	117560	9515019
OT	1	110	112349	9542342
OT	2	110	117409	9437908
OT	1	111	113959	9584834
OT	2	111	117253	9443347
OT	1	112	113906	9498788
OT	2	112	118178	9459820
OT	1	113	112348	9472379
OT	2	113	118388	9378830
OT	1	114	113631	9531417
OT	2	114	117919	9367859
OT	1	115	112903	9450911
OT	2	115	119629	9390514
OT	1	116	112429	9404470
OT	2	116	118047	9307991
OT	1	117	112559	9460395
OT	2	117	118489	9300607
OT	1	118	113605	9369152
OT	2	118	119636	9312313
OT	1	119	111471	9337638
OT	2	119	119019	9238086
OT	1	120	112730	9384834
OT	2	120	119610	9220410
OT	1	121	111451	9304186
OT	2	121	121972	9223525
OT	1	122	111122	9263260
OT	2	122	120937	9138160
OT	1	123	112547	9311493
OT	2	123	120040	9129931
OT	1	124	114477	9210097
OT	2	124	121665	9129911
OT	1	125	111190	9188309
OT	2	125	120015	9042727
OT	1	126	112220	9237157
OT	2	126	120686	9026025
OT	1	127	112632	9142847
OT	2	127	121135	9031292
OT	1	128	111800	9109073
OT	2	128	120418	8920071
OT	1	129	112097	9150350
OT	2	129	121042	8846483
OT	1	130	111397	9063550
OT	2	130	121839	8866192
OT	1	131	110769	9024516
OT	2	131	123476	8793158
OT	1	132	113396	9051080
OT	2	132	124743	8776833
OT	1	133	110333	8983582
OT	2	133	126191	8875795
OT	1	134	110454	8931914
OT	2	134	123945	8697321
OT	1	135	113917	8960184
OT	2	135	125013	8611400
OT	1	136	110471	8893973
OT	2	136	124532	8587669
OT	1	137	110573	8853364
OT	2	137	126174	8509732
OT	1	138	111659	8885165
OT	2	138	127007	8535496
OT	1	139	111993	8793491
OT	2	139	128572	8540926
OT	1	140	110336	8757058
OT	2	140	128086	8435679
OT	1	141	110647	8782189
OT	2	141	129975	8392282
OT	1	142	109401	8694534
OT	2	142	132190	8423726
OT	1	143	110529	8634367
OT	2	143	130850	8256948
OT	1	144	110715	8677612
OT	2	144	128465	7880758
OT	1	145	108457	8611693
OT	2	145	142561	8543882
OT	1	146	108746	8547107
OT	2	146	141649	8110669
OT	1	147	109532	8581581
OT	2	147	151490	8284261
OT	1	148	108821	8491539
OT	2	148	159627	8449356
OT	1	149	109746	8397376
OT	2	149	151620	7483345
OT	1	150	106903	8402562
OT	2	150	172416	8027657
OT	1	151	95062	8005433
OT	2	151	218099	7665086
OB	1	1	125550	9977412
OB	2	1	288330	10099499
OB	1	2	122351	10060104
OB	2	2	200872	9804372
OB	1	3	123502	9896460
OB	2	3	170993	8978789
OB	1	4	120947	10137128
OB	2	4	182509	10252596
OB	1	5	120004	10127931
OB	2	5	168673	9898105
OB	1	6	118229	10028620
OB	2	6	155874	9624451
OB	1	7	117451	10120434
OB	2	7	158624	10161427
OB	1	8	117898	10019415
OB	2	8	137020	9192428
OB	1	9	118157	10039271
OB	2	9	143691	9711691
OB	1	10	115930	10087505
OB	2	10	144190	9862320
OB	1	11	117368	10129245
OB	2	11	140823	9778837
OB	1	12	116035	10070697
OB	2	12	138737	9785424
OB	1	13	118133	10100949
OB	2	13	139116	9899124
OB	1	14	116889	10146166
OB	2	14	135137	9835032
OB	1	15	116396	10093228
OB	2	15	135278	9772651
OB	1	16	116064	10116860
OB	2	16	132974	9851969
OB	1	17	118516	10151627
OB	2	17	133516	9824252
OB	1	18	115288	10134390
OB	2	18	131004	9925223
OB	1	19	116033	10181056
OB	2	19	135703	10115661
OB	1	20	117731	10204771
OB	2	20	131536	9942265
OB	1	21	115613	10156010
OB	2	21	131651	9950162
OB	1	22	115312	10186333
OB	2	22	129157	10015764
OB	1	23	115997	10233740
OB	2	23	126577	9952597
OB	1	24	115632	10183764
OB	2	24	127236	10019646
OB	1	25	117383	10227767
OB	2	25	128492	10136319
OB	1	26	116768	10282513
OB	2	26	126933	10080540
OB	1	27	115804	10233153
OB	2	27	126067	10100236
OB	1	28	117901	10239929
OB	2	28	129401	10170732
OB	1	29	116937	10312901
OB	2	29	125516	10141534
OB	1	30	115024	10247308
OB	2	30	127142	10122028
OB	1	31	116319	10298869
OB	2	31	127816	10212229
OB	1	32	116773	10333465
OB	2	32	124929	10167488
OB	1	33	116371	10279485
OB	2	33	124474	10180791
OB	1	34	117717	10295308
OB	2	34	124740	10256218
OB	1	35	116876	10355651
OB	2	35	123999	10203219
OB	1	36	115946	10285450
OB	2	36	123641	10193733
OB	1	37	115952	10322930
OB	2	37	124236	10269140
OB	1	38	117213	10359292
OB	2	38	122991	10215160
OB	1	39	115805	10301615
OB	2	39	123181	10202895
OB	1	40	117315	10318919
OB	2	40	122367	10282834
OB	1	41	116130	10368071
OB	2	41	121367	10219032
OB	1	42	115981	10298555
OB	2	42	121773	10206813
OB	1	43	116444	10325412
OB	2	43	120944	10283623
OB	1	44	119477	10349467
OB	2	44	119911	10224070
OB	1	45	116647	10302922
OB	2	45	120256	10212281
OB	1	46	118303	10315581
OB	2	46	121128	10282965
OB	1	47	118829	10357287
OB	2	47	119525	10228101
OB	1	48	116366	10310672
OB	2	48	119602	10212096
OB	1	49	116455	10343366
OB	2	49	119836	10286334
OB	1	50	117370	10377027
OB	2	50	119463	10230917
OB	1	51	116850	10311899
OB	2	51	118303	10221103
OB	1	52	116582	10334994
OB	2	52	119285	10287587
OB	1	53	118053	10382282
OB	2	53	118649	10231006
OB	1	54	117683	10314594
OB	2	54	117720	10218690
OB	1	55	117611	10340678
OB	2	55	118560	10281996
OB	1	56	117347	10382619
OB	2	56	117425	10231623
OB	1	57	116897	10317969
OB	2	57	117820	10213138
OB	1	58	117997	10343132
OB	2	58	117139	10297641
OB	1	59	120142	10359969
OB	2	59	117800	10242259
OB	1	60	117193	10317854
OB	2	60	116922	10235848
OB	1	61	117311	10349684
OB	2	61	116971	10306807
OB	1	62	118247	10388432
OB	2	62	116134	10259350
OB	1	63	117252	10319673
OB	2	63	117377	10240382
OB	1	64	119746	10332022
OB	2	64	118054	10301985
OB	1	65	118829	10386533
OB	2	65	116042	10256460
OB	1	66	117471	10310705
OB	2	66	115668	10259291
OB	1	67	118285	10336907
OB	2	67	117235	10310951
OB	1	68	118685	10381215
OB	2	68	115676	10265052
OB	1	69	117438	10307738
OB	2	69	116030	10245474
OB	1	70	118578	10327610
OB	2	70	115776	10313934
OB	1	71	118761	10373004
OB	2	71	115692	10263363
OB	1	72	118472	10289737
OB	2	72	115015	10257250
OB	1	73	118734	10299899
OB	2	73	117069	10285306
OB	1	74	120011	10342852
OB	2	74	115141	10246997
OB	1	75	118986	10266385
OB	2	75	115364	10226316
OB	1	76	119025	10285619
OB	2	76	115842	10288514
OB	1	77	120234	10321223
OB	2	77	115234	10229571
OB	1	78	118238	10241330
OB	2	78	114743	10221703
OB	1	79	119381	10271844
OB	2	79	117427	10254090
OB	1	80	120122	10310086
OB	2	80	116371	10193141
OB	1	81	119467	10218410
OB	2	81	114869	10192475
OB	1	82	120645	10228593
OB	2	82	116768	10228288
OB	1	83	120645	10265401
OB	2	83	118866	10145901
OB	1	84	119520	10181262
OB	2	84	115274	10163028
OB	1	85	119819	10201628
OB	2	85	117228	10186243
OB	1	86	120470	10232624
OB	2	86	113993	10144449
OB	1	87	120073	10155095
OB	2	87	114292	10122060
OB	1	88	120523	10163006
OB	2	88	115199	10163744
OB	1	89	120939	10199456
OB	2	89	114439	10088319
OB	1	90	120475	10120255
OB	2	90	113388	10080539
OB	1	91	121879	10116055
OB	2	91	113905	10118330
OB	1	92	121698	10159095
OB	2	92	113730	10059105
OB	1	93	120460	10069964
OB	2	93	116939	10008454
OB	1	94	121289	10076909
OB	2	94	115134	10072069
OB	1	95	123704	10097938
OB	2	95	114980	9995732
OB	1	96	121585	10025084
OB	2	96	113185	9984310
OB	1	97	121200	10041148
OB	2	97	115734	10021147
OB	1	98	122726	10071806
OB	2	98	115643	9950470
OB	1	99	121801	9980697
OB	2	99	113191	9939720
OB	1	100	121915	9979830
OB	2	100	113212	9971838
OB	1	101	122850	10026409
OB	2	101	116015	9877942
OB	1	102	122651	9923964
OB	2	102	112382	9883424
OB	1	103	122057	9937640
OB	2	103	113618	9923644
OB	1	104	123995	9969238
OB	2	104	113025	9852717
OB	1	105	124087	9857202
OB	2	105	112317	9824430
OB	1	106	124608	9861612
OB	2	106	113062	9858037
OB	1	107	123685	9920388
OB	2	107	113336	9779150
OB	1	108	122908	9814427
OB	2	108	112836	9735133
OB	1	109	123390	9820742
OB	2	109	112109	9802517
OB	1	110	124480	9846579
OB	2	110	111608	9723381
OB	1	111	123254	9756851
OB	2	111	110893	9699967
OB	1	112	124779	9753161
OB	2	112	112312	9730301
OB	1	113	125368	9792255
OB	2	113	111282	9655480
OB	1	114	124285	9690956
OB	2	114	111570	9628007
OB	1	115	124944	9684969
OB	2	115	111817	9645499
OB	1	116	125788	9724788
OB	2	116	112869	9566926
OB	1	117	125578	9612048
OB	2	117	112155	9528047
OB	1	118	126189	9612080
OB	2	118	111579	9576306
OB	1	119	126876	9652778
OB	2	119	110782	9510558
OB	1	120	126365	9533620
OB	2	120	112118	9466066
OB	1	121	125990	9545241
OB	2	121	110988	9502419
OB	1	122	128570	9580002
OB	2	122	111360	9416463
OB	1	123	126852	9475022
OB	2	123	110443	9393353
OB	1	124	128219	9469067
OB	2	124	112836	9408878
OB	1	125	128855	9503908
OB	2	125	110317	9347553
OB	1	126	128242	9376519
OB	2	126	111818	9294282
OB	1	127	129945	9371619
OB	2	127	110655	9330641
OB	1	128	129771	9402354
OB	2	128	109359	9255787
OB	1	129	129846	9320498
OB	2	129	107987	9214055
OB	1	130	137195	9337418
OB	2	130	109778	9231505
OB	1	131	132394	9336354
OB	2	131	108949	9169361
OB	1	132	129967	9118617
OB	2	132	112226	9117357
OB	1	133	131093	9043468
OB	2	133	111451	9115519
OB	1	134	134245	9162731
OB	2	134	109830	9050483
OB	1	135	135429	9014879
OB	2	135	108174	9021083
OB	1	136	134544	9059788
OB	2	136	109351	9039703
OB	1	137	136314	9073278
OB	2	137	113109	8932399
OB	1	138	136668	8936426
OB	2	138	108932	8925505
OB	1	139	137996	8934775
OB	2	139	108740	8929845
OB	1	140	141510	9019071
OB	2	140	107157	8840500
OB	1	141	142578	8919898
OB	2	141	106738	8805874
OB	1	142	144651	8876540
OB	2	142	108241	8798361
OB	1	143	148731	8890158
OB	2	143	109240	8722314
OB	1	144	152339	8957380
OB	2	144	108226	8671181
OB	1	145	143766	8206050
OB	2	145	109049	8671334
OB	1	146	164058	8959713
OB	2	146	105224	8594893
OB	1	147	163723	8552606
OB	2	147	104169	8533182
OB	1	148	176503	8303747
OB	2	148	106472	8553347
OB	1	149	175778	7639839
OB	2	149	137561	8425495
OB	1	150	171180	6526139
OB	2	150	129848	8355373
OB	1	151	287418	7963486
OB	2	151	99580	7819434
