Strand	Read	Position	nMethylated	nUnmethylated
OB	2	70	56397	10294012
OB	1	71	56896	10349678
OB	2	71	55975	10220981
OB	1	72	56282	10268690
OB	2	72	56112	10215511
OB	1	73	56923	10274531
OB	2	73	57630	10267653
OB	1	74	57350	10327676
OB	2	74	56034	10216530
OB	1	75	56584	10243574
OB	2	75	56215	10190341
OB	1	76	56610	10255502
OB	2	76	56608	10276608
OB	1	77	57522	10296847
OB	2	77	56030	10185497
OB	1	78	57222	10211554
OB	2	78	56210	10173035
OB	1	79	56837	10232959
OB	2	79	57937	10231920
OB	1	80	57287	10282734
OB	2	80	57385	10147576
OB	1	81	56673	10185284
OB	2	81	55571	10150437
OB	1	82	57855	10184415
OB	2	82	57391	10193228
OB	1	83	57106	10243201
OB	2	83	60259	10097281
OB	1	84	56799	10146137
OB	2	84	55792	10105711
OB	1	85	56470	10157882
OB	2	85	59062	10149456
OB	1	86	57601	10193187
OB	2	86	55514	10079439
OB	1	87	56714	10106806
OB	2	87	55719	10061430
OB	1	88	57236	10114445
OB	2	88	56490	10118765
OB	1	89	57276	10160667
OB	2	89	56362	10030479
OB	1	90	56565	10055339
OB	2	90	55574	10009724
OB	1	91	57919	10042294
OB	2	91	56184	10062366
OB	1	92	56593	10098318
OB	2	92	55336	9977914
OB	1	93	56575	10002272
OB	2	93	58543	9929716
OB	1	94	56893	10003675
OB	2	94	56244	10005075
OB	1	95	58444	10030772
OB	2	95	56681	9911772
OB	1	96	56629	9953507
OB	2	96	55333	9901614
OB	1	97	56587	9954277
OB	2	97	57013	9942058
OB	1	98	56561	9996689
OB	2	98	57458	9858379
OB	1	99	56045	9892055
OB	2	99	55245	9842306
OB	1	100	56464	9894213
OB	2	100	55823	9881415
OB	1	101	56674	9934276
OB	2	101	57969	9772830
OB	1	102	56610	9837050
OB	2	102	55445	9773438
OB	1	103	56615	9831085
OB	2	103	55549	9813528
OB	1	104	56738	9870252
OB	2	104	54739	9731021
OB	1	105	57778	9755838
OB	2	105	54585	9701583
OB	1	106	58420	9743441
OB	2	106	55652	9740777
OB	1	107	57240	9797627
OB	2	107	56404	9650295
OB	1	108	56711	9690884
OB	2	108	56743	9605751
OB	1	109	56171	9683891
OB	2	109	55271	9667422
OB	1	110	56695	9716614
OB	2	110	54539	9576834
OB	1	111	56016	9614076
OB	2	111	54771	9548448
OB	1	112	56122	9608899
OB	2	112	55569	9583417
OB	1	113	57085	9650467
OB	2	113	54937	9493797
OB	1	114	55503	9534512
OB	2	114	53890	9465499
OB	1	115	55836	9526560
OB	2	115	54499	9494874
OB	1	116	56528	9568751
OB	2	116	55698	9390272
OB	1	117	55629	9456918
OB	2	117	55852	9362503
OB	1	118	56061	9440236
OB	2	118	54590	9409314
OB	1	119	56081	9481505
OB	2	119	53765	9317414
OB	1	120	55432	9362561
OB	2	120	55432	9275315
OB	1	121	55491	9353075
OB	2	121	54666	9312895
OB	1	122	56862	9394480
OB	2	122	55325	9205287
OB	1	123	56036	9276019
OB	2	123	53660	9183407
OB	1	124	56233	9258421
OB	2	124	55350	9204105
OB	1	125	56648	9300462
OB	2	125	53664	9121337
OB	1	126	55624	9170606
OB	2	126	55114	9070831
OB	1	127	55257	9141952
OB	2	127	54104	9113724
OB	1	128	56037	9189035
OB	2	128	53544	9020299
OB	1	129	56023	9105971
OB	2	129	53168	8978978
OB	1	130	62384	9114765
OB	2	130	53774	8995822
OB	1	131	56415	9100429
OB	2	131	53161	8911109
OB	1	132	55249	8860228
OB	2	132	55363	8862471
OB	1	133	54704	8769807
OB	2	133	56411	8877458
OB	1	134	56361	8913434
OB	2	134	53782	8786359
OB	1	135	58973	8757831
OB	2	135	52977	8748443
OB	1	136	56040	8796531
OB	2	136	53356	8778795
OB	1	137	56878	8826057
OB	2	137	56045	8645094
OB	1	138	56643	8674351
OB	2	138	52885	8643434
OB	1	139	56316	8679050
OB	2	139	53082	8654341
OB	1	140	58255	8776577
OB	2	140	52088	8555338
OB	1	141	58116	8666396
OB	2	141	52501	8510504
OB	1	142	59367	8595358
OB	2	142	53437	8511468
OB	1	143	60591	8617547
OB	2	143	54138	8418897
OB	1	144	62583	8700607
OB	2	144	54234	8371472
OB	1	145	58914	7876891
OB	2	145	55315	8375954
OB	1	146	69137	8670761
OB	2	146	51591	8284816
OB	1	147	71032	8286905
OB	2	147	52124	8229938
OB	1	148	83236	8107382
OB	2	148	54745	8257384
OB	1	149	84796	7484919
OB	2	149	91009	8122410
OB	1	150	97362	6655738
OB	2	150	86464	8063057
OB	1	151	157167	7295692
OB	2	151	64581	7603501
